Rank,Title,Artist
1,Drowning,WOODZ
2,시작의 아이,마크툽 (Maktub)
3,너에게 닿기를,10CM
4,FAMOUS,ALLDAY PROJECT
5,모르시나요 (Prod. by 로코베리),조째즈
6,Dirty Work,aespa
7,Whiplash,aespa
8,like JENNIE,제니 (JENNIE)
9,청춘만화,이무진
10,나는 반딧불,황가람
11,HOME SWEET HOME (Feat. 태양 & 대성),G-DRAGON
12,Never Ending Story,아이유 (IU)
13,HAPPY,DAY6 (데이식스)
14,TOO BAD (Feat. Anderson .Paak),G-DRAGON
15,REBEL HEART,IVE (아이브)
16,어제보다 슬픈 오늘,우디 (Woody)
17,APT.,로제 (ROSÉ) & Bruno Mars
18,한 페이지가 될 수 있게,DAY6 (데이식스)
19,내게 사랑이 뭐냐고 물어본다면,로이킴
20,Welcome to the Show,DAY6 (데이식스)
21,내 이름 맑음,QWER
22,Die With A Smile,Lady Gaga & Bruno Mars
23,Supernova,aespa
24,눈물참기,QWER
25,MY LOVE (2025),이예은 & 아샤트리 & 전건호
26,고민중독,QWER
27,예뻤어,DAY6 (데이식스)
28,소나기,이클립스 (ECLIPSE)
29,오늘만 I LOVE YOU,BOYNEXTDOOR
30,천상연,이창섭
31,ATTITUDE,IVE (아이브)
32,에피소드,이무진
33,toxic till the end,로제 (ROSÉ)
34,HANDS UP,MEOVV (미야오)
35,네모의 꿈,아이유 (IU)
36,나는 아픈 건 딱 질색이니까,i-dle (아이들)
37,WICKED,ALLDAY PROJECT
38,미치게 그리워서,황가람
39,슬픈 초대장,순순희 (지환)
40,HOT,LE SSERAFIM (르세라핌)
41,Flower,오반 (OVAN)
42,비의 랩소디,임재현
43,PO￦ER,G-DRAGON
44,Cruel Summer,Taylor Swift
45,UP (KARINA Solo),aespa
46,첫 만남은 계획대로 되지 않아,TWS (투어스)
47,Love wins all,아이유 (IU)
48,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
49,어떻게 이별까지 사랑하겠어  널 사랑하는 거지,AKMU (악뮤)
50,I AM,IVE (아이브)
51,Small girl (Feat. 도경수 (D.O.)),이영지
52,How Sweet,NewJeans
53,DRIP,BABYMONSTER
54,청혼하지 않을 이유를 못 찾았어,이무진
55,Mantra,제니 (JENNIE)
56,사랑인가 봐,멜로망스 (MeloMance)
57,사건의 지평선,윤하 (YOUNHA)
58,주저하는 연인들을 위해,잔나비
59,그날이 오면,투모로우바이투게더
60,Magnetic,아일릿 (ILLIT)
61,다정히 내 이름을 부르면,경서예지 & 전건호
62,심 (心),DK (디셈버)
63,헤어지자 말해요,박재정
64,I Don't Think That I Like Her,Charlie Puth
65,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
66,Hype Boy,NewJeans
67,너의 모든 순간,성시경
68,Stay,The Kid LAROI & Justin Bieber
69,클락션 (Klaxon),i-dle (아이들)
70,너와의 모든 지금,재쓰비 (JAESSBEE)
71,벌써 일년,브라운 아이즈
72,2002,Anne-Marie
73,모든 날  모든 순간 (Every day  Every Moment),폴킴
74,해야 (HEYA),IVE (아이브)
75,LOVE ATTACK,RESCENE (리센느)
76,I DO ME,KiiiKiii (키키)
77,가까운 듯 먼 그대여,카더가든
78,사막에서 꽃을 피우듯,우디 (Woody)
79,Dangerously,Charlie Puth
80,Older,Sasha Alex Sloan
81,그라데이션,10CM
82,When I Get Old,Christopher & 청하
83,사랑은 늘 도망가,임영웅
84,Congratulations,DAY6 (데이식스)
85,Armageddon,aespa
86,Ditto,NewJeans
87,영원해,도경수 (D.O.)
88,만년설 (Everlasting),엔플라잉 (N.Flying)
89,LOVE DIVE,IVE (아이브)
