history_id,car_id,start_date,end_date
722,1,2022-10-31 0:00:00,2022-11-30 0:00:00
517,2,2022-08-05 0:00:00,2022-08-07 0:00:00
534,2,2022-08-09 0:00:00,2022-08-09 0:00:00
537,2,2022-08-10 0:00:00,2022-08-20 0:00:00
568,2,2022-08-21 0:00:00,2022-08-23 0:00:00
575,2,2022-08-24 0:00:00,2022-08-28 0:00:00
601,2,2022-09-05 0:00:00,2022-10-05 0:00:00
685,2,2022-10-10 0:00:00,2023-01-11 0:00:00
699,3,2022-10-21 0:00:00,2022-10-24 0:00:00
713,3,2022-10-27 0:00:00,2022-10-28 0:00:00
613,4,2022-09-11 0:00:00,2022-10-21 0:00:00
704,4,2022-10-23 0:00:00,2022-10-26 0:00:00
723,4,2022-10-31 0:00:00,2022-11-01 0:00:00
518,5,2022-08-05 0:00:00,2022-08-08 0:00:00
535,5,2022-08-09 0:00:00,2022-08-09 0:00:00
538,5,2022-08-10 0:00:00,2022-08-10 0:00:00
545,5,2022-08-12 0:00:00,2022-09-21 0:00:00
648,5,2022-09-23 0:00:00,2022-11-02 0:00:00
558,6,2022-08-17 0:00:00,2022-09-21 0:00:00
653,6,2022-09-24 0:00:00,2022-10-24 0:00:00
710,6,2022-10-25 0:00:00,2022-10-28 0:00:00
720,6,2022-10-30 0:00:00,2022-11-02 0:00:00
523,7,2022-08-06 0:00:00,2022-08-08 0:00:00
551,7,2022-08-14 0:00:00,2022-08-15 0:00:00
564,7,2022-08-19 0:00:00,2022-08-22 0:00:00
573,7,2022-08-23 0:00:00,2022-09-22 0:00:00
649,7,2022-09-23 0:00:00,2022-10-06 0:00:00
687,7,2022-10-14 0:00:00,2022-11-23 0:00:00
524,8,2022-08-06 0:00:00,2022-08-06 0:00:00
527,8,2022-08-07 0:00:00,2022-08-11 0:00:00
546,8,2022-08-12 0:00:00,2022-08-13 0:00:00
556,8,2022-08-16 0:00:00,2022-08-23 0:00:00
581,8,2022-08-26 0:00:00,2022-08-27 0:00:00
586,8,2022-08-29 0:00:00,2022-08-30 0:00:00
591,8,2022-09-01 0:00:00,2022-09-11 0:00:00
618,8,2022-09-13 0:00:00,2022-09-14 0:00:00
627,8,2022-09-16 0:00:00,2022-09-16 0:00:00
631,8,2022-09-17 0:00:00,2022-09-19 0:00:00
640,8,2022-09-21 0:00:00,2022-09-24 0:00:00
673,8,2022-10-02 0:00:00,2022-10-04 0:00:00
680,8,2022-10-07 0:00:00,2022-10-21 0:00:00
705,8,2022-10-23 0:00:00,2022-10-23 0:00:00
711,8,2022-10-25 0:00:00,2022-10-25 0:00:00
714,8,2022-10-27 0:00:00,2022-11-06 0:00:00
539,9,2022-08-10 0:00:00,2022-08-10 0:00:00
562,9,2022-08-18 0:00:00,2022-08-20 0:00:00
571,9,2022-08-22 0:00:00,2022-10-01 0:00:00
675,9,2022-10-03 0:00:00,2023-01-04 0:00:00
567,10,2022-08-20 0:00:00,2022-08-21 0:00:00
577,10,2022-08-25 0:00:00,2022-08-26 0:00:00
582,10,2022-08-27 0:00:00,2022-08-29 0:00:00
592,10,2022-09-01 0:00:00,2022-09-02 0:00:00
595,10,2022-09-03 0:00:00,2022-09-18 0:00:00
645,10,2022-09-22 0:00:00,2022-09-23 0:00:00
656,10,2022-09-25 0:00:00,2022-09-25 0:00:00
667,10,2022-09-28 0:00:00,2022-10-12 0:00:00
692,10,2022-10-18 0:00:00,2022-10-18 0:00:00
697,10,2022-10-20 0:00:00,2022-10-23 0:00:00
707,10,2022-10-24 0:00:00,2023-01-25 0:00:00
587,11,2022-08-29 0:00:00,2022-08-29 0:00:00
596,11,2022-09-04 0:00:00,2022-09-04 0:00:00
615,11,2022-09-12 0:00:00,2022-09-13 0:00:00
621,11,2022-09-14 0:00:00,2022-09-16 0:00:00
632,11,2022-09-17 0:00:00,2022-09-18 0:00:00
637,11,2022-09-19 0:00:00,2022-09-19 0:00:00
657,11,2022-09-25 0:00:00,2023-01-03 0:00:00
594,12,2022-09-02 0:00:00,2022-09-15 0:00:00
628,12,2022-09-16 0:00:00,2022-09-18 0:00:00
641,12,2022-09-21 0:00:00,2022-09-23 0:00:00
654,12,2022-09-24 0:00:00,2022-09-25 0:00:00
676,12,2022-10-03 0:00:00,2022-10-06 0:00:00
681,12,2022-10-07 0:00:00,2022-11-16 0:00:00
511,13,2022-08-03 0:00:00,2022-08-07 0:00:00
547,13,2022-08-12 0:00:00,2022-08-14 0:00:00
559,13,2022-08-17 0:00:00,2022-08-19 0:00:00
574,13,2022-08-23 0:00:00,2022-08-24 0:00:00
583,13,2022-08-27 0:00:00,2022-09-06 0:00:00
611,13,2022-09-10 0:00:00,2022-09-11 0:00:00
622,13,2022-09-14 0:00:00,2022-09-21 0:00:00
650,13,2022-09-23 0:00:00,2022-09-24 0:00:00
668,13,2022-09-28 0:00:00,2022-09-28 0:00:00
679,13,2022-10-06 0:00:00,2022-10-06 0:00:00
688,13,2022-10-14 0:00:00,2022-10-15 0:00:00
706,13,2022-10-23 0:00:00,2022-10-26 0:00:00
715,13,2022-10-27 0:00:00,2022-10-27 0:00:00
718,13,2022-10-28 0:00:00,2022-10-30 0:00:00
506,15,2022-08-01 0:00:00,2022-08-02 0:00:00
540,15,2022-08-10 0:00:00,2022-09-19 0:00:00
638,15,2022-09-20 0:00:00,2022-09-23 0:00:00
663,15,2022-09-26 0:00:00,2022-09-26 0:00:00
671,15,2022-10-01 0:00:00,2022-10-14 0:00:00
702,15,2022-10-22 0:00:00,2022-11-06 0:00:00
548,16,2022-08-13 0:00:00,2022-08-13 0:00:00
560,16,2022-08-17 0:00:00,2022-11-15 0:00:00
674,17,2022-10-02 0:00:00,2022-11-06 0:00:00
603,18,2022-09-06 0:00:00,2022-09-07 0:00:00
609,18,2022-09-09 0:00:00,2022-09-12 0:00:00
619,18,2022-09-13 0:00:00,2022-09-15 0:00:00
629,18,2022-09-16 0:00:00,2022-10-16 0:00:00
694,18,2022-10-19 0:00:00,2022-10-19 0:00:00
700,18,2022-10-21 0:00:00,2022-10-22 0:00:00
712,18,2022-10-25 0:00:00,2023-01-26 0:00:00
634,19,2022-09-18 0:00:00,2022-09-20 0:00:00
528,19,2022-08-07 0:00:00,2022-09-16 0:00:00
678,19,2022-10-05 0:00:00,2022-11-14 0:00:00
664,19,2022-09-26 0:00:00,2022-10-03 0:00:00
642,19,2022-09-21 0:00:00,2022-09-23 0:00:00
602,20,2022-09-05 0:00:00,2022-09-06 0:00:00
701,20,2022-10-21 0:00:00,2022-10-23 0:00:00
610,20,2022-09-09 0:00:00,2022-09-12 0:00:00
623,20,2022-09-14 0:00:00,2022-09-15 0:00:00
630,20,2022-09-16 0:00:00,2022-10-16 0:00:00
724,20,2022-10-31 0:00:00,2022-12-10 0:00:00
672,21,2022-10-01 0:00:00,2022-10-01 0:00:00
682,21,2022-10-07 0:00:00,2022-10-09 0:00:00
691,21,2022-10-17 0:00:00,2022-10-17 0:00:00
695,21,2022-10-19 0:00:00,2022-10-26 0:00:00
721,21,2022-10-30 0:00:00,2022-11-02 0:00:00
658,21,2022-09-25 0:00:00,2022-09-26 0:00:00
604,22,2022-09-06 0:00:00,2022-09-06 0:00:00
606,22,2022-09-07 0:00:00,2022-12-06 0:00:00
578,23,2022-08-25 0:00:00,2022-09-01 0:00:00
646,23,2022-09-22 0:00:00,2022-09-24 0:00:00
519,23,2022-08-05 0:00:00,2022-08-06 0:00:00
597,23,2022-09-04 0:00:00,2022-09-07 0:00:00
689,23,2022-10-14 0:00:00,2022-10-27 0:00:00
531,23,2022-08-08 0:00:00,2022-08-21 0:00:00
626,23,2022-09-15 0:00:00,2022-09-16 0:00:00
665,23,2022-09-26 0:00:00,2022-10-06 0:00:00
607,24,2022-09-08 0:00:00,2022-09-11 0:00:00
635,24,2022-09-18 0:00:00,2022-10-28 0:00:00
624,24,2022-09-14 0:00:00,2022-09-14 0:00:00
616,25,2022-09-12 0:00:00,2022-09-14 0:00:00
593,25,2022-09-01 0:00:00,2022-09-03 0:00:00
520,25,2022-08-05 0:00:00,2022-08-07 0:00:00
669,25,2022-09-29 0:00:00,2022-10-28 0:00:00
532,25,2022-08-08 0:00:00,2022-08-09 0:00:00
659,25,2022-09-25 0:00:00,2022-09-27 0:00:00
542,25,2022-08-11 0:00:00,2022-08-12 0:00:00
639,25,2022-09-20 0:00:00,2022-09-21 0:00:00
552,25,2022-08-14 0:00:00,2022-08-14 0:00:00
561,25,2022-08-17 0:00:00,2022-08-27 0:00:00
605,25,2022-09-06 0:00:00,2022-09-09 0:00:00
507,26,2022-08-01 0:00:00,2022-11-09 0:00:00
536,27,2022-08-09 0:00:00,2022-08-16 0:00:00
